,Alabama,English,Class,Principal Parts,Derivation,Notes
6417,atóklama,next time,,,[a- /tòklo-a-ma],
6418,atolihno,commandment,,,[/ato<li>hno],
6419,atolihnotíkko,Negative form of atolihno,,,,
6420,atomhi,"to shield, hide to protect, obscure something (as clouds hide the sun), block (out light, e.g.)",-LI/CHA-,"atonchi, atomhilaski, atomhachi",,
6421,atómko,Var. of atónko,,,,
6422,atommi,Var. of atomhi,,,,
6423,atónko,Negative form of atomhi,,,,
6424,atooba,"to take the place of, change places with; to trade something; to cash (a check)",-LI/CHA-,"atoosba, atoolba, atoohasba",[poss. /atoba],
6425,atookóoli,"to take a shortcut, make a beeline",-LI,"atookóochi, atookóohili, atookóohachi",[/atookóo-li],
6426,atótchìina,Wednesday,,,[a- /tótchìina],
6427,àtta,"to be located (stationary); to stay, visit, live, be here (of one or two)",-LI,"achìtta, alìtta, ahachìtta",,
6428,áttakli,"to have hanging, leave hanging (plural objects)",-LI/CHA-,"áttakchi, áttakhili, áttakhachi",[/atak(àa)-li],
6429,atyòosbachi,invisible being that lives in the woods,,,[prob. aati-a- /yosba-chi2],
6430,Awakáhyi,traditional woman's name,,,,
6431,awakchaɬàali,"to straddle, be astride, spread the legs on (as a child carried on the hip)",-LI/3,"awakchaɬàachi, awakchaɬàahili, awakchaɬàahachi",[/awakchaɬàa-li],
6432,awanha,to have something too tight to get into or through (as clothes); to stick in a frame (of a door),3/CHA-,,[a- /wanha],
6433,awihka,"magic charm, hunting potion, love potion",,,,
6434,awitàaka,Var. of afitàaka,,,,
6435,awitàali,Var. of afitàali,,,,
6436,Awkoska,month of August,,,[/Awkos-ka3],
6437,awo,grandfather,AM-p,,,
6438,awochòoba,"grandfather, great-grandfather; ancestor, forebear",AM-p,,[/awo /achòoba],
6439,awosi,"uncle, aunt's husband, especially, grandmother's sister's husband",AM-p,,[/awo-osi],
6440,ayaabi,to be greedy about something,-LI/3; CHA-,"ayaabitiska, ayaabitilka, ayaabitaska",,
6441,ayàabi,greedy person,,,[/ayaabi],
6442,ayaabitíkko,Negative form of ayaabi,,,,
6443,ayàachi,"to be there, be around, be located at a place, to go around (of two)",,,[/aya-chi2],
6444,ayáachifíhna,"to be running around, go a lot (of two)",,,[/aya-chi2],
6445,ayaalbi,greed,,,[/ayaa<l>bi],
6446,ayaanáaki,"to slope gradually, slant slightly",,,[/ayaanaki],
6447,ayaanabi,"eastern hophornbeam, ironwood tree",,,,
6448,ayaanaki,"to slope downward, be sloping, slant",Other Verb,,,
6449,ayaanakitíkko,Negative form of ayaanaki,,,,
6450,ayaapahli,Var. of ayapaali,,,,
6451,ayàaya,to have something crawling on oneself,CHA-/3,,[a- /aya],
6452,ayáhbi,to be greedier,CHA-,,[/ayaabi],
6453,ayákha,"close, near (in time or space)",,,,
6454,ayákhàasi,"to be near, next to, close to",-LI/CHA-; CHA-/3,"ayákhàasitiska, ayákhàasitilka, ayákhàasitaska",[/ayákha-osi],
6455,ayákhàasi iisa,"neighboring house, house next door",,,[/ayákha-osi /iisa],
6456,ayákhachókkòoli,neighbor,,,[/ayákha /chokoo-li],
6457,ayákhatíkko,Negative form of ayákha,,,,
6458,ayakìibo,Negative form of ayaabi,,,,
6459,ayanchahka,Var. of aayanchahka,,,,
6460,ayánnàaki,to be slightly sloping or slanting,,,,
6461,ayapaali,"to move around quietly or stealthily, sneak around, ease up on something while stalking it; to hover (as a flycatcher or helicopter)",-LI,"ayapaachi, ayapaahili, ayapaahachi",[/ayapaa-li],
6462,ayapàtko,Negative form of ayapatli,,,,
6463,ayapatli,"to sneak around, lurk, skulk around, act sneakily, move around quietly or stealthily",-LI,"ayapatchi, ayapathili, ayapathachi",[/ayapat-li],
6464,ayapatlichi,to cause an echo,-LI,"ayapatchichi, ayapathilichi, ayapathachichi",[/ayapat-li-chi1],
6465,ayapátlòosi,"quietly, easily, gently, sneakily, covertly",,,[/ayapat-li-osi],
6466,ayapíkko,Negative form of ayapka,,,,
6467,ayapka,"to get away from, pull away from; to overcome, get the better of, get out of the control of",-LI/CHA-,"ayaapiska, ayaapilka, ayaapaska",[/ayap-ka1],
6468,aybachi,"to issue a warning, order, command, instruction, or general injunction",-LI,"aybachitiska, aybachitilka, aybachitaska",,
6469,aybachilka sobayli,law student,,,[/aybachi-ilka /sobay-li],
6470,aybachilka sobáyli,lawyer,,,[/aybachi-ilka /sobay-li],
6471,aybachilka sobàyli,law school,,,[/aybachi-ilka /sobay-li],
6472,aybachitíkko,Negative form of aybachi,,,,
6473,aybachitilka,"taboo, proscription, sanction, ban",,,[/aybachi-tilka],
6474,aycha,Var. of ahicha,,,,
6475,ayhi,bed,,,,
6476,ayhilaaha,boy,,,,
6477,ayhosi,cot,,,[/ayhi-osi],
6478,ayihka,hunting medicine,,,,
6479,ayíikachi,Var. of aykachi,,,,
6480,ayiipi,"lake, pond",,,,
6481,ayiipifo pakaali,water lily,,,[/ayiipi-fa-o1],
6482,ayiipoopátha,baygall,,,[/ayiipi oo- /patha],
6483,ayiiposi,"small permanent water hole, pool, pond (not a puddle)",,,[/ayiipi-osi],
6484,ayikhìicho,Negative form of ahicha,,,,
6485,ayiksa,"clan, matrilineal sib",,,,
6486,ayitika,"interpreter, translator",,,,
6487,ayitikatilka,"translating, interpreting",,,[/ayitika-tilka],
6488,aykachi,"crock, pot; earthenware jug used for mixing up medicine; any clay bowl",,,,
6489,ayokchi,"to impregnate, beget, get with child, make someone pregnant",-LI/CHA-; -LI/AM-,"ayokchiska, ayokchaska, ayokchilka",,
6490,ayokíkpo,Negative form of ayokpa,,,,
6491,ayokpa,"to be happy, glad, pleasantly surprised",CHA-,,,
6492,ayokpáalòssi,"to be good, charitable, or kind to a person; to play with, cuddle, act affectionately toward, comfort, like, love",-LI/CHA-,"ayokpáalòostiska, ayokpáalòostilka, ayokpáalòostaska",[/ayokpali-osi-hchi],
6493,ayokpachi,"to make happy, make feel good, surprise pleasantly; to make smile or laugh",-LI/CHA-,"ayokpachitiska, ayokpachitilka, ayokpachitaska",[/ayokpa-chi1],
6494,ayokpali,"to be good to, be charitable to, comfort; to play with, cuddle, act affectionately with, love, be friendly to; to pat on the back; to greet warmly (e.g. with a hug)",-LI/CHA-,"ayokpalitiska, ayokpalitilka, ayokpalitaska",,
6495,ayokpálko,Negative form of ayokpali,,,,
6496,ayokpatíkko,Negative form of ayokpa,,,,
6497,ayolikpa,"happiness, fun, good time, party",,,[/ayo<li>kpa],
6498,ayommi,to mix up,-LI/3,"ayomchi, ayomhili, ayomhachi",[/ayom-li (?)],
6499,ayómmòosi,"to be very few, very rare, seldom",-LI,"-, ayómmòostilka, ayómmòostaska",[/ayom-li-osi],
6500,ayonkachi,to be a few mixed in,-LI,"-, ayonkachitilka, ayonkachitaska",[/ayom-ka1],
6501,ayónkachòosi,to be just a few mixed in,-LI,"-, ayònkachòostilka, ayònkachòostaska",[/ayom-ka1],
6502,ayoopi,to put a new handle on a tool,-LI/3,"ayoopitiska, ayoopitilka, ayoopitaska",,
6503,ayoosli,Var. of ayosli,,,,
6504,ayoppa,Var. of ayokpa,,,,
6505,ayoppatíkko,Var. of ayokpatíkko,,,,
6506,ayosba,to be forgetful,CHA-,,[a- /yosba],
6507,ayosbachi,"to try to forget, forget someone (on purpose), lose someone",-LI; -LI/3,"ayosbachiska, ayosbachilka, ayosbachaska",[a- /yosba-chi1],
6508,ayosli,"to track, go after, seek, stalk",-LI/CHA-,"ayoschi, ayoshili, ayoshachi",[/ayos-li],
6509,ayyahi,Var. of ayhi,,,,
6510,ayyahosi,Var. of ayhosi,,,,
6511,áyyákhàachi,"to be getting nearer to, getting closer to (in time or space)",-LI/CHA-,"áyyákhàachitiska, áyyákhàachitilka, áyyákhàachitaska",[/ayákha-chi1],
6512,ayyampo,Var. of aayampo,,,,
6513,ayyampo báski,Var. of aayampo báski,,,,
6514,ayyampo paatalka,"kitchen cupboard, cabinet",,,[/ayyampo paa- /tal(àa)-ka1],
6515,ayyampostaasihka,Var. of aayampostaasihka,,,,
6516,ayyanchahka,Var. of aayanchahka,,,,
6517,ayyanchahka imatakka,Var. of aayanchahka imatakka,,,,
6518,ayyanchahka istililhicha,Var. of aayanchahka istililhicha,,,,
6519,ayyanchahka mastimatonka,Venetian blinds,,,[/ayyanchahka maast-im- /atom(hi)-ka1],
6520,áyyapka,to be uncontrollable to,-LI/CHA-,"áyyapiska, áyyapilka, áyyapaska",[/ayap-ka1],
6521,ayyiho,"to take care of in a nice way, treat with respect, treasure, cherish, value, not want anything to happen to",CHA-/3; 3/CHA-,,,
6522,ayyihoochi,"to take care of, care for, not allow anything to happen to; to love, treasure, have affection for, like, be fond of; to have God's grace; to cuddle, hug, comfort, pat on the back",-LI/CHA-,"ayyihootiska, ayyihootilka, ayyihootaska",[poss. a- /ihoo-chi1],
6523,ayyihoochitíkko,Negative form of ayyiho,,,,
6524,ayyihoochosi,Var. of ayyihoochi,,,,
6525,ayyoochi,Var. of ayyihoochi,,,,
6526,ee,Var. of ìiⁿ,,,,
6527,eheⁿ,Var. of ìiⁿ,,,,
6528,elda,to serve as an elder in the church,-LI,"eldatiska, eldatilka, eldataska",,
6529,eyka,letter `A',,,[/ey-ka3],
6530,Eyprilka,month of April,,,[/Eypril-ka3],
6531,-a,(Nom/Mid),,,,
6532,a-,(Appl),,,,
6533,-aa,(Pron),,,,
6534,aa-,(GenLoc),,,,
6535,-aaba,(Modl),,,,
6536,-áahosi,(Adv),,,[-ahi-osi] ,
6537,-áali,(Modf),,,,
6538,-àapi,(Adv),,,,
6539,aati-,(PlObj),,,,
6540,-ahi,(Asp),,,,
6541,-álpìisa,(Modl),,,,
6542,-áɬɬi,(Modf),,,,
6543,<as>,(Pron),,,,
6544,-aski,(Coll),,,,
6545,-ba,(Imp),,,,
6546,-báana,(Asp),,,,
6547,-bíika,(Asp),,,[recent auxiliary which optionally retains auxiliary inflection of a verb with a final -kV; negative -biíkko] ,
6548,-bíino,(Cntrst),,,,
6549,cha-,(Pron),,,,
6550,chi-,(Pron),,,,
6551,<chi>,(Pron),,,,
6552,-chi1,(Cs),,,,
6553,-chi2,(Repet),,,,
6554,-chi3,3,,,,
6555,-fa,(NLoc),,,,
6556,-fíhna,(Adv),,,[in ggr indicates `just about'] ,
6557,-fòoka,(Temp),,,[prob. -fa-o3],
6558,-ha1,(NPl),,,,
6559,-ha2,(Imp),,,,
6560,-ha3,3,,,,
6561,hachi-,(Pron),,,,
6562,<hachi>,(Pron),,,,
6563,-hachi,(Pron),,,,
6564,has-,(Pron),,,,
6565,<has>,(Pron),,,,
6566,-hchi,(Asp),,,[causes apocopation of certain suffixes] ,
6567,hi-,(Adv),,,,
6568,hii-,(Pron),,,,
6569,-hili,(Pron),,,,
6570,ho-,(Dist),,,,
6571,-holi,(PlImp),,,,
6572,ibaa-,(Comit),,,,
6573,ibii-,(Loc),,,,
6574,ichoo-,(Loc),,,,
6575,ik-,(Neg),,,,
6576,<ik>,(Neg),,,,
6577,il1-,(Pron),,,,
6578,il2-,(Nom/Mid),,,,
6579,<il1>,(Pron),,,,
6580,<il2>,(Nom/Mid),,,,
6581,ili-,(Refl),,,,
6582,ilt-,(Dir),,,[prob. from /ila-t] ,
6583,im-,(Dat),,,,
6584,is-,(Pron),,,,
6585,<is>,(Pron),,,,
6586,ist-,(Peri),,,,
6587,ita-,(Loc),,,,
6588,itta-,(Loc),,,[nhn].,
6589,itti-,(Recp),,,,
6590,-k,(Disc),,,,
6591,-ka1,(Nom/Mid),,,,
6592,-ka2,(Deic),,,[lengthens preceding vowel of verb stems] ,
6593,-ka3,3,,,,
6594,-káhmi,(Adv),,,[prob. from /akkáhmi] ,
6595,-kha,(RemPst),,,,
6596,-ki,(Neg),,,[final stem vowel of VCV] stems apocopates before -ki] ,
6597,<ki>,(Neg),,,[infixes after head of penultimate syllable and assumes the length of the vowel of the penultimate syllable] ,
6598,-kítta,(Modf),,,,
6599,-ko,(QCnf),,,,
6600,<l1>,(Nom/Mid),,,,
6601,<l2>,(Pron),,,,
6602,-la,(Asp),,,"[may be the medial form of -laha, since the distinction from -lo is neutralized before a vowel] ",
6603,-laha,(Asp),,,"[the distinction between -laha, -lahi, and -laho is neutralized before a vowel initial suffix] ",
6604,-lahi,(Asp),,,[poss. -la-ahi] ,
6605,-laho,(Asp),,,"[the distinction between -laha, -lahi, and -laho is neutralized before a vowel-initial suffix] ",
6606,-li1,(VExt),,,,
6607,-li2,(Pron),,,,
6608,<li1>,(Nom/Mid),,,,
6609,<li2>,(Pron),,,,
6610,-lo,(Asp),,,[distinction from -la neutralized before a vowel] ,
6611,-loho,(Imp),,,,
6612,-loolo,(Asp),,,[prob. -lo-ooli-o3],
6613,-ma,(Sbjnct),,,[lengthens preceding vowel of verb stems] ,
6614,-máaɬi-,(Modl),,,[nhn].,
6615,-máami,(Adv),,,[from /máhmi] ,
6616,maast-,(Dir),,,[prob. from maat-ist-] ,
6617,maat-,(Dir),,,[poss. related to demonstrative /ma or /maachi] ,
6618,-mahilo,(Modl),,,,
6619,-máɬɬi,(Adv),,,[prob. -ma-áɬɬi] ,
6620,-mo,(Modl),,,[poss. -ma-o,
6621,-mooli,(Adv),,,[prob. ma-ooli] ,
6622,-móska,(Purp),,,[-ma-o4],
6623,-mpa,(Evid),,,,
6624,-n,(Disc),,,,
6625,-nàa,(Modl),,,[prob. -na] ,
6626,-ni,(Modl),,,[lengthens preceding vowel of verb stems] ,
6627,-nnàha,(NegImp),,,[causes high tone on preceding vowel (ggr?)] ,
6628,nok-,(Loc),,,,
6629,noo-,(Loc),,,,
6630,-o1,(Det),,,,
6631,-o2,(Neg),,,,
6632,-o3,3,,,,
6633,-o4,4,,,,
6634,-oka,(PlImp),,,,
6635,-ókko,(NegCop),,,[nhn].,
6636,-oko,(Imp),,,,
6637,-ona,(Cust),,,"[when preceded by -ma can take the ggr to mean `first Verbed', that is, the first occurrence of what will be a customary activity] ",
6638,ona-,(Loc),,,,
6639,oo-,(Loc),,,,
6640,-òo-,(Repet),,,[poss. from <*ho>] ,
6641,-ooli,(Evid),,,[prob. from an existential auxiliary (/oo-) with stem extender -li1],
6642,-óot,(Det),,,[hpc].,
6643,-osi,(Dim/Aug),,,"[takes ggr, or fgr] ",
6644,-oska,(Consq),,,[-o4],
6645,-óska,(Modl),,,,
6646,ost-,(Dir),,,,
6647,paa-,(Loc),,,[poss. related to /páana] ,
6648,-palammi,(Adv),,,,
6649,po-,(Pron),,,,
6650,-s,(Conn),,,[causes apocopation of certain suffixes] ,
6651,<s1>,(PlSj),,,[prob. <ch>] ,
6652,<s2>,(Pron),,,,
6653,-sa,(Evid),,,[lengthens preceding vowel of verb stems] ,
6654,-ska,(Reas),,,,
6655,-sta,(Reas),,,[prob. -s-ta] ,
6656,-stoba,(Asp),,,[either ist- /toba or -s# /toba] ,
6657,-t,(Disc),,,[causes apocopation of certain preceding vowels or suffixes] ,
6658,-ta,(Cntg),,,,
6659,-taaka,(Evid),,,,
6660,-taka,(Hort),,,,
6661,-táska,(Reas),,,[prob. -ta-ska] ,
6662,-ti,(Asp),,,[nhn].,
6663,-tika1,(Hort),,,[causes apocopation of certain preceding vowels or suffixes] ,
6664,-tika2,(Cntrst),,,[causes apocopation of certain preceding vowels or suffixes] ,
6665,-tíkko,(Neg),,,,
6666,-tíkkó,(Contra),,,,
6667,-to,(Pst),,,[causes apocopation of certain preceding vowels or suffixes] ,
6668,-toha,(NarPst),,,[causes apocopation of certain preceding vowels or suffixes] ,
6669,-toho,(PstSq),,,,
6670,-toka,(PlImp),,,,
6671,-toska,(Consq),,,[poss. -to-ska] ,
6672,-y-,(Disc),,,,
6673,-ya,(Deic),,,[lengthens the final vowel of verb stems] ,
6674,-yáali,(Adv),,,[-ya-áali] ,
6675,-yáami,(Modf),,,[ /yáhmi] ,
6676,-yáɬɬi,(Adv),,,,
6677,dabiyo,letter `W',,,,
6678,deaconka,to be a deacon in the church,-LI,"deaconkatiska, deaconkatilka, deaconkataska",[/deacon-ka3],
6679,saalichi,Var. of sahlichi,,,,
6680,saama,salmon,,,,
6681,sàami,Var. of sáhmi,,,,
6682,saamka,psalm,,,[/saam-ka3],
6683,saapoka,"burden carried on the back, backpack",,,[/saapo-ka1],
6684,saapola,"burden, pack, backpack",,,[/saapol-a],
6685,saapoli,to carry on the back,-LI/3,"saapochi, saapohili, saapohachi",[/saapo-li (?)],
6686,Sabìina,Sabine River,,,,
6687,Sabìnka,Sabine River,,,[/sabìn-ka3],
6688,saffi,"to dig, drill into the ground",-LI,"safchi, safhili, safhachi",[/saf-li],
6689,safka,to have been dug,,,[/saf-ka1],
6690,safsahka,to snort (of a horse or deer),,,[prob. /safsah-ka1],
6691,sahkachi,"to be skinned, shaved, scraped",CHA-,,[/sah-ka1],
6692,sàhko,Negative form of sáhmi,,,,
6693,sahlichi,"to scrape, scale (a fish); to scratch; to skin, shave (wood)",-LI/CHA-,"sahchichi, sahhilichi, sahhachichi",[/sah-li-chi2],
6694,sáhmi,"to do however, be however, happen however, be whatever, be any, be some",-LI,"sáhchi, sáhhili, sáhhachi",[/sa<h>mi],
6695,sáhmíffìina,"about what time, about when",,,[/sá<h>mi-fíina],
6696,sáhmifòoka,when (what day),,,[/sá<h>mi-fòoka],
6697,sáhmifòokóot,"sometime, at some point (specific indefinite occasion)",,,[/sá<h>mi-fòoka-óot],
6698,sáhmiima,sometimes (nonspecific indefinite occasion),,,[/sá<h>mi-ma],
6699,sàhmiláhkaamon,sometimes,,,[/sà<h>mi /(i)la<h>-ka2],
6700,sáhmimáɬɬiiya,"sometimes, on occasion, once in a while",,,[/sa<h>mi-ma-áɬɬi-ya],
6701,sáhmisáⁿhtik,anyhow,,,[/sa<h>mi /sa<h>mi-tika],
6702,sáhmòosi,"how much, what amount; when (what time), whenever",,,[/sa<h>mi-osi],
6703,sáhmòosiswaliilka,speed limit,,,[/sá<h>mi-osi ist- /walii<il>-ka1],
6704,sahpa,"to be wilted, dried out, dead (of plants)",,,,
6705,sáhtík,"anyhow, nevertheless, yet, although, despite; any kind of",,,[/sá<h>mi-tika],
6706,sakàmpa,corner (inside or outside),,,,
6707,sakba,arm,CHA-,,,
6708,sakbachofkoni,arm bone,,,[/sakba /chofkoni],
6709,sakbafa holisso,skin tattoo,,,[/sakba-fa /ho<li>sso],
6710,sakbahokfa,bracelet,CHA-; AM-p,,[/sakba /hokfa],
6711,sakba istalsiya,armband,,,[/sakba ist- /a<l>sih-a],
6712,sakbakonìiɬa,"shoulder, upper arm",CHA-,,[/sakba -(/koniiɬa)],
6713,sakban sòoli,Var. of issakban sòoli,,,,
6714,sakbapáana,"arm (uppermost part), top of the shoulder, upper arm",CHA-,,[/sakba /páana],
6715,sakbapakófka,inside of elbow,,,[/sakba /pakof-ka1],
6716,sakcho,"crawfish, crayfish",,,,
6717,sakchohachi,shrimp,,,[/sakcho /hachi],
6718,sakchohomma,red crawfish,,,[/sakcho /homma],
6719,sakcho imiisa,crawfish hole,,,[/sakcho im- /iisa],
6720,sakcho imitto,common buttonbush tree,,,[/sakcho im- /itto],
6721,sakchomitto,Var. of sakcho imitto,,,,
6722,sakchopatha,crab,,,[/sakcho /patha],
6723,sakihpa,"weasel, mink, muskrat?",,,,
6724,sakla,"to be sheer, be perforated, have openings or holes (that can be seen through), be loosely woven",Other Verb,,,
6725,saklachi,to put a lot of small holes through something,-LI/3,"saklachitiska, saklachitilka, saklachitaska",[/sakla-chi1],
6726,saklapatha,sifter,,,[/sakla /patha],
6727,saklichi,"sawyer beetle, black beetle, sawyer worm, pine beetle larva, small pine bark grub",,,,
6728,saklichi ochoski,"grub, beetle larva",,,[/saklichi /ochoski],
6729,saklittisáwwa,fine sifter basket,,,[/sakla itti- /sawwa],
6730,saksámpa,"large grub, beetle larva; any of various scarab beetles such as june bug",,,,
6731,salaaha,"to be cold (of animates), feel cold",CHA-,"as with other verbs of this shape whose last syllable begins with /h/, /l/, or /y/ the place of infixation is irregular and the pattern is that of verbs with a closed penultimate syllable",,
6732,salàali,Var. of salahli,,,,
6733,salahli,to slide (repeatedly or more than one); to ski,-LI,"salahchi, salahhili, salahhachi",[/sala<h>t-li],
6734,salakìiho,Negative form of salaaha,,,,
6735,salakla,"goose, swan",,,,
6736,salaklasi,"gosling, cygnet",,,[/salakla-osi],
6737,salaliiha,"cold, chills",,,[/sala<li>aha],
6738,salatka,"slide, a place to slide (on a playground or in red clay on a stream bank)",,,[/salat-ka1],
6739,salatli,to slide (once),-LI,"salatchi, salathili, salathachi",[/salat-li],
6740,salatlichi,"to slide one thing along, pull (one object) and move it, drag",-LI/CHA-,"salatchichi, salathilichi, salathachichi",[/salat-li-chi1],
6741,salbi,"to be wilting, drooping, limp (of plants)",,,,
6742,salikli,hawk species like a small chicken hawk,,,,
6743,salosba,to be slippery,CHA-,,,
6744,samàaya,to ring (of the ears),CHA-,,,
6745,samàayatíkko,Negative form of samàaya,,,,
6746,samahka,to tuck (the shirt) in,-LI/3,"samahiska, samahilka, samahaska",[/sama<h>t-ka1],
6747,samahli,"to go in between, fit in between, stand in between (in a line) (of more than one)",-LI/CHA-,"-, samahhili, samahhachi",[/sama<h>t-li],
6748,samahlichi,to put (plural objects) in between,-LI/CHA-,"samahchichi, samahhilichi, samahhachichi",[/sama<h>t-li-chi1],
6749,samaíkko,Negative form of samahka,,,,
6750,samat-,<br/>,,,,
6751,samatka,to be put in between,Other Verb,,[/samat-ka1],
6752,samatka,to put in between (of one),Other Verb,,[/samat-ka1],
6753,samatli,"to go in between, fit in between, stand in between (in a line) (of one)",-LI/CHA-,"samatchi, -, -",[/samat-li],
6754,samatlichi,"to insert (one object), put in between two things",-LI/CHA-,"samatchichi, samathilichi, samathachichi",[/samat-li-chi1],
6755,sambi,"to be dead, wilted, withered (of plants)",,,,
6756,samíhchi,"to do something about, with, or to; make somebody do something",-LI/CHA-,"sanchíhchi, saⁿhilíhchi, saⁿhachíhchi",[/sami<h>-chi1],
6757,sámmahli,to be between (of more than one),-LI/CHA-,"-, sámmahhili, sámmahhachi",[/sama<h>t-li],
6758,sámmatli,to be between (of one),-LI,"sámmatchi, -, -",,
6759,sanaffi,to wrinkle (something),-LI/3,"sanafchi, sanafhili, sanafhachi",[/sanaf-li],
6760,sanayli,"to wring once, twist",-LI/3,"sanaychi, sanayhili, sanayhachi",[/sanay-li],
6761,sancho,"sand, dirt",,,,
6762,sancho albalikchosi,little sand pillow used so babies won't become `long-headed',,,[/sancho /albalikchi-osi],
6763,sanchochoba,area of sandy soil,,,[/sancho /choba],
6764,saniffi,to shrink (something),-LI/3,"sanifchi, sanifhili, sanifhachi",,
6765,sanifka,"to shrink, draw up, get smaller (as a wet sweater)",,,[/sanif-ka1],
6766,sankachi,to be wrung out,,,[/sanay-ka1],
6767,sankíhcho,Negative form of samíhchi,,,,
6768,sannichi,"to screw, twist, wring (more than once or several objects)",-LI/3,"sanchichi, sanhilichi, sanhachichi",[/san(ay)-li-chi2],
6769,Santàana,Santa Ana,,,,
6770,sapha,flag,,,,
6771,saphabitka,flag dance,,,[/sapha /bit-ka1],
6772,sapona,hookworm,,,,
6773,saska,masturbation,,,[/sas-ka1],
6774,sasli,to masturbate,-LI,"saschi, sashili, sashachi",[/sas-li],
6775,satani,"tick, esp. dog tick",,,,
6776,satanichoba,"woodtick, tick sp.",,,[/satani /choba],
6777,satanochoski,tick (insect),,,[/satani /ochoski],
6778,satanosi,seed tick,,,[/satani-osi],
6779,satanpatha,tick,,,[/satani /patha],
6780,satapli,"to have a swollen stomach, be bloated (as the stomach or a dead animal)",CHA-,,,
6781,satihpa,"scabbing, dry, crusty skin sore",,,,
6782,satihpa aawihka,for sores to be all over one (as with chickenpox),3/CHA-,,[/satihpa /aawihka],
6783,satta,turtle,,,,
6784,satta affakchi,turtle shell,,,[/satta /affakchi],
6785,sattabaski,type of water turtle (small but long),,,[/satta /baski],
6786,sattapolo,"box turtle, esp. three-toed box turtle; terrapin, tortoise",,,[/satta (polo)],
6787,sattilbi,May haw,,,[/satta il- /(i)bi],
6788,sawa,raccoon,,,,
6789,sawaati,"monkey, ape",,,[/sawa /aati],
6790,sawaatisbakki,coconut,,,[/sawa /aati /isbakko],
6791,sawimbaɬka,species of wild grape,,,[/sawa im- /baɬka],
6792,sawwa,to be small (of more than one),CHA-,,,
6793,sáwwàasi,"to be very little, tiny (of more than one)",CHA-,,[/sawwa-osi],
6794,sáwwàasin ipa,to nibble,-LI/3,,[/sawwa-osi-n /(i)pa],
6795,sawwachi,small change (money),,,[/sawwa-chi1],
6796,sayki,"turkey vulture, buzzard",,,,
6797,saykichòoba,"turkey vulture, buzzard",,,[/sayki /achòoba (?)],
6798,sibapka,to be splintered,,,[/sibap-ka1],
6799,sibapli,"to peel, pull a long strip off, break a long splinter off, strip (esp. bark)",-LI/3,"sibapchi, sibaphili, sibaphachi",[/sibap-li],
6800,sibaplichi,to cause to splinter,-LI/3,"sibapchichi, sibaphilichi, sibaphachichi",[/sibap-li-chi1],
6801,sichi,to be dewy,Other Verb,,,
6802,sichitíkko,Negative form of sichi,,,,
6803,siffi,"to buck, jump; to throw a tantrum; to lie on the back and kick out",-LI,"sifchi, sifhili, sifhachi",[/sif-li],
6804,siffichi,to buck; to throw a tantrum; to lie on the back and kick out,-LI,"sifchichi, sifhilichi, sifhachichi",[/sif-li-chi2],
6805,sifkìicho,Negative form of siffichi,,,,
6806,sihkachi,to come unravelled,,,[/sii<h>p-ka1],
6807,sihlichi,"to card, comb (wool or cotton); to sew a hem stitch; to pull out loose threads, unravel (thread); to pull out all of (the teeth)",-LI/3,"sihchichi, sihhilichi, sihhachichi",[/sii<h>p-li-chi1],
6808,síhno,"to be old, elderly, ancient (of people)",CHA-,,,
6809,síhnofíina,to be very old,CHA-,,[/síhno-fíhna],
6810,Sihooki,a girl's name,,,,
6811,siihka,"to come loose from, come off of (of more than one)",,,[/sii<h>p-ka1],
6812,siihli,"to pull off (clothes, shoes, etc.); to pull out (teeth)",-LI/3,"siihchi, siihhili, siihhachi",[/sii<h>p-li],
6813,siip-,<br/>,,,,
6814,siipka,"to come loose from, come off (as handle of ax, tire of car, baby's shoes) (of one); to stretch (as rubber); to be loose, ready to come off (e.g. a broken handle, a loose tooth)",,,[/siip-ka1],
6815,siipli,"to pull off (one object, such a piece of clothing); to pull out (a tooth)",-LI/3,"siipchi, siiphili, siiphachi",[/siip-li],
6816,siiplichi,"to make (someone) pull off, take off (one object)",-LI/CHA-,"siipchichi, siiphilichi, siiphachichi",[/siip-li-chi1],
6817,sikhi,mountain,,,,
6818,sikhilipli,Var. of sikkilipli,,,,
6819,sikipli,Var. of sikkilipli,,,,
6820,sikkilipli,to stand on tiptoe,-LI,"sikkilipchi, sikkiliphili, sikkiliphachi",[/sikkilip-li],
6821,sikkilíplit bitli,"to ballet dance, dance on tiptoe",-LI,,[/sikkilip-li-t /bit-li],
6822,sikóhpa,to be poorer,CHA-,,,
6823,sikóolpa,poverty,,,[/sikóo<l>pa],
6824,sikooⁿpaschi,Var. of sikóopàssi,,,,
6825,sikóopa,"to be poor, be destitute, suffer hardship, be shabby; to be weak, feeble, sickly",CHA-,,,
6826,sikoopali,"abused victimized person, a person one is mean to and uncaring about, a person who is treated badly",,,,
6827,sikóopàssi,to be poor,CHA-,,[/sikóopa-osi-hchi],
6828,silaabachi,Var. of silbacha,,,,
6829,silbacha,"foot bridge, foot log (a log across a creek used as a bridge)",,,,
6830,silhoba,"a tree similar to ash, poss. slippery elm?",,,,
6831,silihno,"old age, age",,,[/si<li>hno],
6832,silikli,type of small bird similar to a chicken hawk,,,,
6833,simbi,"to peel, strip (river cane), strip (bark) off",-LI/3,"simchi, simhili, simhachi","[/sib-li, prob. dsfx1 of /sibapli]",
