,Alabama,English,Class
6332,assikchi hòmma,beet,
6333,assikchi kosòoma,plant whose roots are used as a cure for snake bite,
6334,assikchi laana,carrot,
6335,assikchìlpa,turnip or mustard greens,
6336,assikchìlpa hòmma,beet,
6337,assikchìlpa laana,carrot,
6338,àswa,"to live, dwell (of two)",-LI
6339,ataaka,"to be an obstruction, be blocking a path, be a barrier",
6340,ataanàpko,Negative form of ataanapli,
6341,ataanapli,"to be rancid, fermented, slightly spoiled but edible",
6342,ataapa,"long-handled stirrer with a wide, flat spoon used to stir sofkey",
6343,ataawotkìicho,Negative form of ataawotlichi,
6344,ataawotlichi,"to rattle, vibrate, shake, bounce, echo",
6345,ataíkko,Negative form of ataaka,
6346,atakàa-,,
6347,atakàaka,"to be hung, hanged (of one)",Other Verb
6348,atakàaka,"to hang; to get hung up, catch on something (of one)",Other Verb
6349,atakàako,Negative form of atakàali,
6350,atakàali,"to hang, pick up, hold up, dangle (one object)",-LI/CHA-
6351,atakaíkko,Negative form of atakàaka,
6352,atakhíkko,Negative form of atakka,
6353,atakhoka,atakka2,
6354,atakka,"to be hung, hanged, hanging (of more than one)",Other Verb
6355,atakka,"to hang, get hung up, catch on something (of more than one)",Other Verb
6356,atákkàaka,"to be hanging; to be hung up, be caught on something (of one); to be suspended in the sky (of a cloud)",-LI
6357,atákkàali,"to have (one object) hanging, to be hanging something",-LI/3
6358,atákkaíkko,Negative form of atákkàaka,
6359,atakli,to hang (plural objects),-LI/CHA-
6360,atáɬɬàapi,Friday,
6361,atanàakachi,"to circle around, go around (repeatedly), spin, twirl",-LI
6362,atanàalichi,Var. of atanahlichi,
6363,atanahka,to be surrounded (of more than one),Other Verb
6364,atanahka,"to encircle, go around, surround (more than one time or of more than one)",Other Verb
6365,atanahlichi,"to put (more than one) around, put around more than once, weave around the outside of a basket",-LI/CHA-
6366,atanat-,,
6367,atanatíkko,Negative form of atanatka,
6368,atanatilka,"a way around something to avoid it (e.g. a path around a pasture to avoid a mean bull), detour",
6369,atanatka,to be surrounded (of one),Other Verb
6370,atanatka,"to circle around, go around once; to dodge, avoid, miss, outflank (of one)",Other Verb
6371,atanatkat oɬa,"to run the bases, round the bases (in baseball)",-LI
6372,atanatli,"to surround, encircle (as a fence) (of one inanimate)",
6373,atanatlichi,"to put around, go around with (one object) repeatedly; to weave around (the sides of a basket)",-LI/3
6374,atanàyko,Negative form of atanayli,
6375,atanayli,"to wrap, wrap up (one object)",-LI/CHA-
6376,atánnàapli,"to be nearly rancid, almost spoiled",
6377,atánnatka,"to be avoided, skirted, gone around (of one)",CHA-
6378,atánnatli,"to be around, be surrounding, circle (of one inanimate)",
6379,atánnayka,"to be wrapped up, tangled up in (of one)",CHA-
6380,atanni,to wrap up (plural objects or repeatedly),-LI/CHA-
6381,ataplichi,"to block, cut off access, often in order to trap",-LI/CHA-
6382,átchàapa,"to be objecting to silently, be slightly opposed to, disapprove of",-LI/CHA-
6383,atchafàaka,"lonely person, orphan, widow/widower, bachelor, person with no kinfolks",
6384,átchakki,"to follow along after, be behind",-LI/CHA-
6385,átchihba,"to be getting more expensive (but not yet expensive); to be difficult, problematic",
6386,átchìili,"to have (a crop) planted, have a crop in the field",-LI/3
6387,atchòobittabi,devil's walking stick,
6388,átchoskàachi,to be following along right behind (of more than one),-LI/CHA-
6389,atholiska,"winning team, winners",
6390,athómma imbitka,Var. of aatihòmma imbitka,
6391,athòmmintikba,"Indian fire, low fire made in the woods, fire made with a firedrill",
6392,atibòoko,Negative form of atibòoli,
6393,atibòoli,"to burp up, belch, regurgitate (as a cow to chew cud)",CHA-; -LI
6394,atibòolichi,to burp (a baby),-LI/CHA-
6395,atibòolit yaska,to chew cud,-LI/3
6396,atiiyapli,Var. of atiyapli,
6397,atikhíkko,Negative form of atikka,
6398,atikìika,"to have been lit, set afire, burned (of one)",CHA-
6399,atikìiko,Negative form of atikìili,
6400,atikìili,"to set afire, light, kindle, burn, ignite (one object)",-LI/3
6401,atikka,"to have been lit, set afire, burned (of more than one)",CHA-
6402,atikli,"to set afire, light, kindle, burn, ignite (plural objects)",-LI/3
6403,atipaska,"to be partitioned once, be cut off or stopped (of electricity or water)",CHA-
6404,atipasli,"to cut off, turn off anything flowing or running (such as water or electricity); to partition, make a room by putting up a partition; to be stopped; to shut up, stop talking (of one)",-LI/CHA-
6405,atipkachi,"to be partitioned, divided (more than once)",
6406,atiyápko,Negative form of atiyapli,
6407,atiyapli,to stir while cooking,-LI/3
6408,atobiila,to burn in an oven or scorch on the stove (of food),
6409,atobiilàachi,devil,
6410,atobiilachi,"to burn something, scorch (food) on the stove",-LI/CHA-; -LI/3
6411,atobiilachitíkko,Negative form of atobiilachi,
6412,atohchi,"bag, sack, bandolier bag",
6413,atohno,"to make (someone) do, force (someone) to do, command, order",-LI/CHA-
6414,atokìhno,Negative form of atohno,
6415,atòkla,"Tuesday; next time, seconds",
6416,atokláali,"again, a second time, again and again; next time",
6417,atóklama,next time,
6418,atolihno,commandment,
6419,atolihnotíkko,Negative form of atolihno,
6420,atomhi,"to shield, hide to protect, obscure something (as clouds hide the sun), block (out light, e.g.)",-LI/CHA-
6421,atómko,Var. of atónko,
6422,atommi,Var. of atomhi,
6423,atónko,Negative form of atomhi,
6424,atooba,"to take the place of, change places with; to trade something; to cash (a check)",-LI/CHA-
6425,atookóoli,"to take a shortcut, make a beeline",-LI
6426,atótchìina,Wednesday,
6427,àtta,"to be located (stationary); to stay, visit, live, be here (of one or two)",-LI
6428,áttakli,"to have hanging, leave hanging (plural objects)",-LI/CHA-
6429,atyòosbachi,invisible being that lives in the woods,
6430,Awakáhyi,traditional woman's name,
6431,awakchaɬàali,"to straddle, be astride, spread the legs on (as a child carried on the hip)",-LI/3
6432,awanha,to have something too tight to get into or through (as clothes); to stick in a frame (of a door),3/CHA-
6433,awihka,"magic charm, hunting potion, love potion",
6434,awitàaka,Var. of afitàaka,
6435,awitàali,Var. of afitàali,
6436,Awkoska,month of August,
6437,awo,grandfather,AM-p
6438,awochòoba,"grandfather, great-grandfather; ancestor, forebear",AM-p
6439,awosi,"uncle, aunt's husband, especially, grandmother's sister's husband",AM-p
6440,ayaabi,to be greedy about something,-LI/3; CHA-
6441,ayàabi,greedy person,
6442,ayaabitíkko,Negative form of ayaabi,
6443,ayàachi,"to be there, be around, be located at a place, to go around (of two)",
6444,ayáachifíhna,"to be running around, go a lot (of two)",
6445,ayaalbi,greed,
6446,ayaanáaki,"to slope gradually, slant slightly",
6447,ayaanabi,"eastern hophornbeam, ironwood tree",
6448,ayaanaki,"to slope downward, be sloping, slant",
6449,ayaanakitíkko,Negative form of ayaanaki,
6450,ayaapahli,Var. of ayapaali,
6451,ayàaya,to have something crawling on oneself,CHA-/3
6452,ayáhbi,to be greedier,CHA-
6453,ayákha,"close, near (in time or space)",
6454,ayákhàasi,"to be near, next to, close to",-LI/CHA-; CHA-/3
6455,ayákhàasi iisa,"neighboring house, house next door",
6456,ayákhachókkòoli,neighbor,
6457,ayákhatíkko,Negative form of ayákha,
6458,ayakìibo,Negative form of ayaabi,
6459,ayanchahka,Var. of aayanchahka,
6460,ayánnàaki,to be slightly sloping or slanting,
6461,ayapaali,"to move around quietly or stealthily, sneak around, ease up on something while stalking it; to hover (as a flycatcher or helicopter)",-LI
6462,ayapàtko,Negative form of ayapatli,
6463,ayapatli,"to sneak around, lurk, skulk around, act sneakily, move around quietly or stealthily",-LI
6464,ayapatlichi,to cause an echo,-LI
6465,ayapátlòosi,"quietly, easily, gently, sneakily, covertly",
6466,ayapíkko,Negative form of ayapka,
6467,ayapka,"to get away from, pull away from; to overcome, get the better of, get out of the control of",-LI/CHA-
6468,aybachi,"to issue a warning, order, command, instruction, or general injunction",-LI
6469,aybachilka sobayli,law student,
6470,aybachilka sobáyli,lawyer,
6471,aybachilka sobàyli,law school,
6472,aybachitíkko,Negative form of aybachi,
6473,aybachitilka,"taboo, proscription, sanction, ban",
6474,aycha,Var. of ahicha,
6475,ayhi,bed,
6476,ayhilaaha,boy,
6477,ayhosi,cot,
6478,ayihka,hunting medicine,
6479,ayíikachi,Var. of aykachi,
6480,ayiipi,"lake, pond",
6481,ayiipifo pakaali,water lily,
6482,ayiipoopátha,baygall,
6483,ayiiposi,"small permanent water hole, pool, pond (not a puddle)",
6484,ayikhìicho,Negative form of ahicha,
6485,ayiksa,"clan, matrilineal sib",
6486,ayitika,"interpreter, translator",
6487,ayitikatilka,"translating, interpreting",
6488,aykachi,"crock, pot; earthenware jug used for mixing up medicine; any clay bowl",
6489,ayokchi,"to impregnate, beget, get with child, make someone pregnant",
6490,ayokíkpo,Negative form of ayokpa,
6491,ayokpa,"to be happy, glad, pleasantly surprised",CHA-
6492,ayokpáalòssi,"to be good, charitable, or kind to a person; to play with, cuddle, act affectionately toward, comfort, like, love",-LI/CHA-
6493,ayokpachi,"to make happy, make feel good, surprise pleasantly; to make smile or laugh",-LI/CHA-
6494,ayokpali,"to be good to, be charitable to, comfort; to play with, cuddle, act affectionately with, love, be friendly to; to pat on the back; to greet warmly (e.g. with a hug)",-LI/CHA-
6495,ayokpálko,Negative form of ayokpali,
6496,ayokpatíkko,Negative form of ayokpa,
6497,ayolikpa,"happiness, fun, good time, party",
6498,ayommi,to mix up,-LI/3
6499,ayómmòosi,"to be very few, very rare, seldom",-LI
6500,ayonkachi,to be a few mixed in,-LI
6501,ayónkachòosi,to be just a few mixed in,-LI
6502,ayoopi,to put a new handle on a tool,-LI/3
6503,ayoosli,Var. of ayosli,
6504,ayoppa,Var. of ayokpa,
6505,ayoppatíkko,Var. of ayokpatíkko,
6506,ayosba,to be forgetful,CHA-
6507,ayosbachi,"to try to forget, forget someone (on purpose), lose someone",-LI; -LI/3
6508,ayosli,"to track, go after, seek, stalk",-LI/CHA-
6509,ayyahi,Var. of ayhi,
6510,ayyahosi,Var. of ayhosi,
6511,áyyákhàachi,"to be getting nearer to, getting closer to (in time or space)",-LI/CHA-
6512,ayyampo,Var. of aayampo,
6513,ayyampo báski,Var. of aayampo báski,
6514,ayyampo paatalka,"kitchen cupboard, cabinet",
6515,ayyampostaasihka,Var. of aayampostaasihka,
6516,ayyanchahka,Var. of aayanchahka,
6517,ayyanchahka imatakka,Var. of aayanchahka imatakka,
6518,ayyanchahka istililhicha,Var. of aayanchahka istililhicha,
6519,ayyanchahka mastimatonka,Venetian blinds,
6520,áyyapka,to be uncontrollable to,-LI/CHA-
6521,ayyiho,"to take care of in a nice way, treat with respect, treasure, cherish, value, not want anything to happen to",CHA-/3; 3/CHA-
6522,ayyihoochi,"to take care of, care for, not allow anything to happen to; to love, treasure, have affection for, like, be fond of; to have God's grace; to cuddle, hug, comfort, pat on the back",-LI/CHA-
6523,ayyihoochitíkko,Negative form of ayyiho,
6524,ayyihoochosi,Var. of ayyihoochi,
6525,ayyoochi,Var. of ayyihoochi,
6526,ee,Var. of ìiⁿ,
6527,eheⁿ,Var. of ìiⁿ,
6528,elda,to serve as an elder in the church,-LI
6529,eyka,letter `A',
6530,Eyprilka,month of April,
6531,-a,(Nom/Mid),
6532,a-,(Appl),
6533,-aa,(Pron),
6534,aa-,(GenLoc),
6535,-aaba,(Modl),
6536,-áahosi,(Adv),
6537,-áali,(Modf),
6538,-àapi,(Adv),
6539,aati-,(PlObj),
6540,-ahi,(Asp),
6541,-álpìisa,(Modl),
6542,-áɬɬi,(Modf),
6543,<as>,(Pron),
6544,-aski,(Coll),
6545,-ba,(Imp),
6546,-báana,(Asp),
6547,-bíika,(Asp),
6548,-bíino,(Cntrst),
6549,cha-,(Pron),
6550,chi-,(Pron),
6551,<chi>,(Pron),
6552,-chi1,(Cs),
6553,-chi2,(Repet),
6554,-chi3,3,
6555,-fa,(NLoc),
6556,-fíhna,(Adv),
6557,-fòoka,(Temp),
6558,-ha1,(NPl),
6559,-ha2,(Imp),
6560,-ha3,3,
6561,hachi-,(Pron),
6562,<hachi>,(Pron),
6563,-hachi,(Pron),
6564,has-,(Pron),
6565,<has>,(Pron),
6566,-hchi,(Asp),
6567,hi-,(Adv),
6568,hii-,(Pron),
6569,-hili,(Pron),
6570,ho-,(Dist),
6571,-holi,(PlImp),
6572,ibaa-,(Comit),
6573,ibii-,(Loc),
6574,ichoo-,(Loc),
6575,ik-,(Neg),
6576,<ik>,(Neg),
6577,il1-,(Pron),
6578,il2-,(Nom/Mid),
6579,<il1>,(Pron),
6580,<il2>,(Nom/Mid),
6581,ili-,(Refl),
6582,ilt-,(Dir),
6583,im-,(Dat),
6584,is-,(Pron),
6585,<is>,(Pron),
6586,ist-,(Peri),
6587,ita-,(Loc),
6588,itta-,(Loc),
6589,itti-,(Recp),
6590,-k,(Disc),
6591,-ka1,(Nom/Mid),
6592,-ka2,(Deic),
6593,-ka3,3,
6594,-káhmi,(Adv),
6595,-kha,(RemPst),
6596,-ki,(Neg),
6597,<ki>,(Neg),
6598,-kítta,(Modf),
6599,-ko,(QCnf),
6600,<l1>,(Nom/Mid),
6601,<l2>,(Pron),
6602,-la,(Asp),
6603,-laha,(Asp),
6604,-lahi,(Asp),
6605,-laho,(Asp),
6606,-li1,(VExt),
6607,-li2,(Pron),
6608,<li1>,(Nom/Mid),
6609,<li2>,(Pron),
6610,-lo,(Asp),
6611,-loho,(Imp),
6612,-loolo,(Asp),
6613,-ma,(Sbjnct),
6614,-máaɬi-,(Modl),
6615,-máami,(Adv),
6616,maast-,(Dir),
6617,maat-,(Dir),
6618,-mahilo,(Modl),
6619,-máɬɬi,(Adv),
6620,-mo,(Modl),
6621,-mooli,(Adv),
6622,-móska,(Purp),
6623,-mpa,(Evid),
6624,-n,(Disc),
6625,-nàa,(Modl),
6626,-ni,(Modl),
6627,-nnàha,(NegImp),
6628,nok-,(Loc),
6629,noo-,(Loc),
6630,-o1,(Det),
6631,-o2,(Neg),
6632,-o3,3,
6633,-o4,4,
6634,-oka,(PlImp),
6635,-ókko,(NegCop),
6636,-oko,(Imp),
6637,-ona,(Cust),
6638,ona-,(Loc),
6639,oo-,(Loc),
6640,-òo-,(Repet),
6641,-ooli,(Evid),
6642,-óot,(Det),
6643,-osi,(Dim/Aug),
6644,-oska,(Consq),
6645,-óska,(Modl),
6646,ost-,(Dir),
6647,paa-,(Loc),
6648,-palammi,(Adv),
6649,po-,(Pron),
6650,-s,(Conn),
6651,<s1>,(PlSj),
6652,<s2>,(Pron),
6653,-sa,(Evid),
6654,-ska,(Reas),
6655,-sta,(Reas),
6656,-stoba,(Asp),
6657,-t,(Disc),
6658,-ta,(Cntg),
6659,-taaka,(Evid),
6660,-taka,(Hort),
6661,-táska,(Reas),
6662,-ti,(Asp),
6663,-tika1,(Hort),
6664,-tika2,(Cntrst),
6665,-tíkko,(Neg),
6666,-tíkkó,(Contra),
6667,-to,(Pst),
6668,-toha,(NarPst),
6669,-toho,(PstSq),
6670,-toka,(PlImp),
6671,-toska,(Consq),
6672,-y-,(Disc),
6673,-ya,(Deic),
6674,-yáali,(Adv),
6675,-yáami,(Modf),
6676,-yáɬɬi,(Adv),
6677,dabiyo,letter `W',
6678,deaconka,to be a deacon in the church,-LI
6679,saalichi,Var. of sahlichi,
6680,saama,salmon,
6681,sàami,Var. of sáhmi,
6682,saamka,psalm,
6683,saapoka,"burden carried on the back, backpack",
6684,saapola,"burden, pack, backpack",
6685,saapoli,to carry on the back,
6686,Sabìina,Sabine River,
6687,Sabìnka,Sabine River,
6688,saffi,"to dig, drill into the ground",-LI
6689,safka,to have been dug,
6690,safsahka,to snort (of a horse or deer),
6691,sahkachi,"to be skinned, shaved, scraped",CHA-
6692,sàhko,Negative form of sáhmi,
6693,sahlichi,"to scrape, scale (a fish); to scratch; to skin, shave (wood)",-LI/CHA-
6694,sáhmi,"to do however, be however, happen however, be whatever, be any, be some",-LI
6695,sáhmíffìina,"about what time, about when",
6696,sáhmifòoka,when (what day),
6697,sáhmifòokóot,"sometime, at some point (specific indefinite occasion)",
6698,sáhmiima,sometimes (nonspecific indefinite occasion),
6699,sàhmiláhkaamon,sometimes,
6700,sáhmimáɬɬiiya,"sometimes, on occasion, once in a while",
6701,sáhmisáⁿhtik,anyhow,
6702,sáhmòosi,"how much, what amount; when (what time), whenever",
6703,sáhmòosiswaliilka,speed limit,
6704,sahpa,"to be wilted, dried out, dead (of plants)",
6705,sáhtík,"anyhow, nevertheless, yet, although, despite; any kind of",
6706,sakàmpa,corner (inside or outside),
6707,sakba,arm,CHA-
6708,sakbachofkoni,arm bone,
6709,sakbafa holisso,skin tattoo,
6710,sakbahokfa,bracelet,CHA-; AM-p
6711,sakba istalsiya,armband,
6712,sakbakonìiɬa,"shoulder, upper arm",CHA-
6713,sakban sòoli,Var. of issakban sòoli,
6714,sakbapáana,"arm (uppermost part), top of the shoulder, upper arm",CHA-
6715,sakbapakófka,inside of elbow,
6716,sakcho,"crawfish, crayfish",
6717,sakchohachi,shrimp,
6718,sakchohomma,red crawfish,
6719,sakcho imiisa,crawfish hole,
6720,sakcho imitto,common buttonbush tree,
6721,sakchomitto,Var. of sakcho imitto,
6722,sakchopatha,crab,
6723,sakihpa,"weasel, mink, muskrat?",
6724,sakla,"to be sheer, be perforated, have openings or holes (that can be seen through), be loosely woven",Other Verb
6725,saklachi,to put a lot of small holes through something,-LI/3
6726,saklapatha,sifter,
6727,saklichi,"sawyer beetle, black beetle, sawyer worm, pine beetle larva, small pine bark grub",
6728,saklichi ochoski,"grub, beetle larva",
6729,saklittisáwwa,fine sifter basket,
6730,saksámpa,"large grub, beetle larva; any of various scarab beetles such as june bug",
6731,salaaha,"to be cold (of animates), feel cold",CHA-
6732,salàali,Var. of salahli,
6733,salahli,to slide (repeatedly or more than one); to ski,-LI
6734,salakìiho,Negative form of salaaha,
6735,salakla,"goose, swan",
6736,salaklasi,"gosling, cygnet",
6737,salaliiha,"cold, chills",
6738,salatka,"slide, a place to slide (on a playground or in red clay on a stream bank)",
6739,salatli,to slide (once),-LI
6740,salatlichi,"to slide one thing along, pull (one object) and move it, drag",-LI/CHA-
6741,salbi,"to be wilting, drooping, limp (of plants)",
6742,salikli,hawk species like a small chicken hawk,
6743,salosba,to be slippery,CHA-
6744,samàaya,to ring (of the ears),CHA-
6745,samàayatíkko,Negative form of samàaya,
6746,samahka,to tuck (the shirt) in,-LI/3
6747,samahli,"to go in between, fit in between, stand in between (in a line) (of more than one)",-LI/CHA-
6748,samahlichi,to put (plural objects) in between,-LI/CHA-
6749,samaíkko,Negative form of samahka,
6750,samat-,,
6751,samatka,to be put in between,Other Verb
6752,samatka,to put in between (of one),Other Verb
6753,samatli,"to go in between, fit in between, stand in between (in a line) (of one)",-LI/CHA-
6754,samatlichi,"to insert (one object), put in between two things",-LI/CHA-
6755,sambi,"to be dead, wilted, withered (of plants)",
6756,samíhchi,"to do something about, with, or to; make somebody do something",-LI/CHA-
6757,sámmahli,to be between (of more than one),-LI/CHA-
6758,sámmatli,to be between (of one),-LI
6759,sanaffi,to wrinkle (something),-LI/3
6760,sanayli,"to wring once, twist",-LI/3
6761,sancho,"sand, dirt",
6762,sancho albalikchosi,little sand pillow used so babies won't become `long-headed',
6763,sanchochoba,area of sandy soil,
6764,saniffi,to shrink (something),-LI/3
6765,sanifka,"to shrink, draw up, get smaller (as a wet sweater)",
6766,sankachi,to be wrung out,
6767,sankíhcho,Negative form of samíhchi,
6768,sannichi,"to screw, twist, wring (more than once or several objects)",-LI/3
6769,Santàana,Santa Ana,
6770,sapha,flag,
6771,saphabitka,flag dance,
6772,sapona,hookworm,
6773,saska,masturbation,
6774,sasli,to masturbate,-LI
6775,satani,"tick, esp. dog tick",
6776,satanichoba,"woodtick, tick sp.",
6777,satanochoski,tick (insect),
6778,satanosi,seed tick,
6779,satanpatha,tick,
6780,satapli,"to have a swollen stomach, be bloated (as the stomach or a dead animal)",CHA-
6781,satihpa,"scabbing, dry, crusty skin sore",
6782,satihpa aawihka,for sores to be all over one (as with chickenpox),3/CHA-
6783,satta,turtle,
6784,satta affakchi,turtle shell,
6785,sattabaski,type of water turtle (small but long),
6786,sattapolo,"box turtle, esp. three-toed box turtle; terrapin, tortoise",
6787,sattilbi,May haw,
6788,sawa,raccoon,
6789,sawaati,"monkey, ape",
6790,sawaatisbakki,coconut,
6791,sawimbaɬka,species of wild grape,
6792,sawwa,to be small (of more than one),CHA-
6793,sáwwàasi,"to be very little, tiny (of more than one)",CHA-
6794,sáwwàasin ipa,to nibble,-LI/3
6795,sawwachi,small change (money),
6796,sayki,"turkey vulture, buzzard",
6797,saykichòoba,"turkey vulture, buzzard",
6798,sibapka,to be splintered,
6799,sibapli,"to peel, pull a long strip off, break a long splinter off, strip (esp. bark)",-LI/3
6800,sibaplichi,to cause to splinter,-LI/3
6801,sichi,to be dewy,Other Verb
6802,sichitíkko,Negative form of sichi,
6803,siffi,"to buck, jump; to throw a tantrum; to lie on the back and kick out",-LI
6804,siffichi,to buck; to throw a tantrum; to lie on the back and kick out,-LI
6805,sifkìicho,Negative form of siffichi,
6806,sihkachi,to come unravelled,
6807,sihlichi,"to card, comb (wool or cotton); to sew a hem stitch; to pull out loose threads, unravel (thread); to pull out all of (the teeth)",-LI/3
6808,síhno,"to be old, elderly, ancient (of people)",CHA-
6809,síhnofíina,to be very old,CHA-
6810,Sihooki,a girl's name,
6811,siihka,"to come loose from, come off of (of more than one)",
6812,siihli,"to pull off (clothes, shoes, etc.); to pull out (teeth)",-LI/3
6813,siip-,,
6814,siipka,"to come loose from, come off (as handle of ax, tire of car, baby's shoes) (of one); to stretch (as rubber); to be loose, ready to come off (e.g. a broken handle, a loose tooth)",
6815,siipli,"to pull off (one object, such a piece of clothing); to pull out (a tooth)",-LI/3
6816,siiplichi,"to make (someone) pull off, take off (one object)",-LI/CHA-
6817,sikhi,mountain,
6818,sikhilipli,Var. of sikkilipli,
6819,sikipli,Var. of sikkilipli,
6820,sikkilipli,to stand on tiptoe,-LI
6821,sikkilíplit bitli,"to ballet dance, dance on tiptoe",-LI
6822,sikóhpa,to be poorer,CHA-
6823,sikóolpa,poverty,
6824,sikooⁿpaschi,Var. of sikóopàssi,
6825,sikóopa,"to be poor, be destitute, suffer hardship, be shabby; to be weak, feeble, sickly",CHA-
6826,sikoopali,"abused victimized person, a person one is mean to and uncaring about, a person who is treated badly",
6827,sikóopàssi,to be poor,CHA-
6828,silaabachi,Var. of silbacha,
6829,silbacha,"foot bridge, foot log (a log across a creek used as a bridge)",
6830,silhoba,"a tree similar to ash, poss. slippery elm?",
6831,silihno,"old age, age",
6832,silikli,type of small bird similar to a chicken hawk,
6833,simbi,"to peel, strip (river cane), strip (bark) off",-LI/3
6834,simbitíkko,Negative form of simbi,
6835,simka,"to be peeled, stripped (especially of cane)",
6836,símko,Negative form of simbi,
6837,simmi,Var. of simbi,
6838,simohka,"to be numb in a body part, have the circulation cut off in a part of the body, have a limb of the body fall asleep, be tingling, pins and needles",CHA-
6839,simohkatíkko,Negative form of simohka,
6840,sinaphoba,"a tree similar to ash, used in making horse medicine",
6841,sinaphooba,Var. of sinaphoba,
6842,sinapo,"any ash tree, esp. white ash",
6843,sinapohólba,Var. of sinaphoba,
6844,sinoktaɬayli,Var. of sonokkiɬayli,
6845,sinoktiɬayli,Var. of sonokkiɬayli,
6846,sista,"eldest daughter, older daughter",
6847,sitoffi,"to untie (a restraint), unbutton (one button)",-LI/3
6848,sitofka,to be untied (of one),
6849,sitòoka,"to be untied, come untied (of more than one)",
6850,sitòoli,to untie (more than one restraint),-LI/3
6851,siwaakola,"bald cypress, cypress tree",
6852,siwaakola impisi,cypress knee,
6853,siwaakola ittoɬpa,cypress knee,
6854,skalàoba,Var. of iskalàaba,
6855,skali,Var. of iskali,
6856,skaytóklo,Var. of iskalitóklo,
6857,sɬaafka,Var. of tikbisɬaafka,
6858,sna,Var. of isna,
6859,snafka,snuff,
6860,snafka ilpa,snuff chewing,
6861,snafka ipa,"to dip snuff, chew snuff",-LI/3
6862,sno,Var. of isno,
6863,snoktaɬayli,Var. of sonokkiɬayli,
6864,snoktaɬaylichoba,yellow horsemint,
6865,sobáayka,"to be well known, known about for some time",CHA-
6866,sobáayli,"to know (already), recognize; to study",-LI/3
6867,sobayhíkko,Negative form of sobàyka,
6868,sobayíkko,Var. of sobayhíkko,
6869,sobàyka,"to have been found out about; to be known, learned",CHA-
6870,sobáyka,Var. of sobáayka,
6871,sobáyka báana,"to be well known, famous, known a long time",CHA-
6872,sobàyko,Negative form of sobàyli,
6873,sobàykohchi ilahoobachi,"to avoid coming to terms with (a situation), not want to know about",-LI/3
6874,sobayli,"to find out about, learn, perceive, remember",-LI/CHA-
6875,sobàyli,"to know, have learned",-LI/CHA-
6876,sobila,lye,
6877,sobohli,"to be smoky, give off smoke (in more than one place or at various times)",
6878,sobooli,Var. of sobohli,
6879,sobóotli,to be smoke,
6880,sobotli,smoke,
6881,sóffòoli,"to be beginning to swell, be slightly swollen",
6882,sofka,to fall (of leaves); to drain (down through something),
6883,sòfko,Negative form of soofi,
6884,sofohli,"to swell, be swollen, rise",
6885,sofohlichi,"to make rise, cause to swell",-LI/3
6886,sofooli,Var. of sofohli,
6887,sofoolichi,Var. of sofohlichi,
6888,sofòolichi,to make a rustling or shuffling noise as of papers or leaves,-LI
6889,sohkachi,"to be milled, sawed (of wood)",
6890,sohlichi,"to saw, mill wood, rasp; to make a rasping noise",-LI/3
6891,sóhpa,to be lighter,CHA-
6892,sokaffi,"to scrape, peel off, scalp, skin, strip (bark) (once or one thing)",-LI/CHA-
6893,sokafka,"scrape, abrasion",
6894,sokcha,"to be loose, baggy",
6895,sokchachi,"to make a bag out of (especially a skin); to loosen (something) that has been tight, make baggy",-LI/3
6896,sokcha istabatilka,suitcase,
6897,sokchapaɬakna,"tow sack, burlap sack",
6898,sokha,"pig, hog",
6899,sokhàatka,opossum,
6900,sokhàatkasi,"baby opossum, small opossum",
6901,sokhaffakchi,pork rind,
6902,sokhahatka,white pig,
6903,sokhahàtkasi,"white piglet, little opossum",
6904,sokha ichokpaskachi,hog jowls,
6905,sokhamaɬatli,wild hog,
6906,sokhanakchi,"spare ribs, pork ribs",
6907,sokhanipo,pork,
6908,sokhaniya,pork cracklings,
6909,sokhasi,"piglet, shoat",
6910,sokhasihàtka,white piglet,
6911,sokhilli,"to have epilepsy, have a seizure, have convulsions",CHA-
6912,sokhinchaabi,hog intestines,
6913,sokhobi,ham,
6914,sokka,"to get scraped up, peeled, scalped; to flake off",CHA-
6915,sokli,"to scrape, peel off, scalp, skin, strip (bark) (repeatedly or more than one), remove the outer layer from",-LI/CHA-
6916,sokpa,"to be light, lightweight, agile (as a gymnast)",CHA-
6917,sókpa,Var. of sóhpa,
6918,sokpanòoli,"little black water insect, small black things floating in jelly on the surface of the water (mosquito larva?)",
6919,solkaffakchi,snail shell,
6920,solko,snail,
6921,sollòkchi,"spirit, soul, ghost",CHA-
6922,sollòota,cricket,
6923,sóllotka,"to be slightly dried up, starting to dry up (of one)",CHA-
6924,solohka,"to be dry, thin (of more than one)",CHA-
6925,solòoya,"for to be a jingling, tinkling sound",
6926,solòoyachi,to make something jingle or tinkle (as a small bell),-LI/3
6927,solotka,"to be dry, dried, dried up, shriveled up, shrunken, wilted (as an old plant), skinny, wizened (of one); for there to be a drought",
6928,solotli,to dry,-LI/CHA-
6929,sómbàyka,"to be known of, have been heard of (as a famous person one has heard of but does not know personally)",CHA-
6930,sómbàyli,to remember; to know a little about something,-LI/3
6931,sómbàylifìinakáhchi,to be nosey,
6932,sómbotli,to be smoking,
6933,somo,"moss, Spanish moss; lichen",
6934,somofahka,spun Spanish moss,
6935,somofahli,to spin Spanish moss,-LI/3
6936,somohatka,living Spanish moss (as opposed to somolocha),
6937,somo isfahka,tool used in spinning moss,
6938,somo iyyispaska,Spanish moss doormat,
